epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,train_rmse_epoch,train_rmse_step,val_loss,val_r2,val_rmse
,0.001,0,,,,,,,,,
0,,9,,703.8323974609375,,-9.52448844909668,,26.211082458496094,,,
0,,19,,751.720458984375,,-8.001514434814453,,27.092554092407227,,,
0,,29,,595.2205200195312,,-8.57183837890625,,24.14654541015625,,,
0,,39,,702.1680908203125,,-8.908124923706055,,26.14626121520996,,,
0,,49,,651.020263671875,,-6.278660774230957,,25.20049285888672,,,
0,,59,,891.7114868164062,,-9.047411918640137,,29.52215576171875,,,
0,,69,,736.783935546875,,-7.41307258605957,,26.862472534179688,,,
0,,79,,734.82958984375,,-12.621221542358398,,26.847606658935547,,,
0,,89,,635.43212890625,,-7.803366661071777,,24.88507080078125,,,
0,,99,,735.100341796875,,-6.314950466156006,,26.876995086669922,,,
0,,109,,770.31396484375,,-5.896882057189941,,27.46350860595703,,,
0,,119,,764.6558227539062,,-5.281215667724609,,27.318405151367188,,,
0,,129,,753.43896484375,,-4.767673492431641,,27.10654067993164,,,
0,,139,,632.5640869140625,,-9.323264122009277,,24.81233787536621,,,
0,,146,,,,,,,668.3340454101562,-7.0269575119018555,25.505481719970703
0,,146,712.0625,,-7.3568434715271,,26.314733505249023,,,,
,0.001,147,,,,,,,,,
1,,149,,569.48095703125,,-5.195118427276611,,23.63412094116211,,,
1,,159,,753.8824462890625,,-10.234537124633789,,27.2132511138916,,,
1,,169,,538.452392578125,,-8.790252685546875,,22.855159759521484,,,
1,,179,,570.8648681640625,,-8.293126106262207,,23.594911575317383,,,
1,,189,,717.73291015625,,-9.491140365600586,,26.520931243896484,,,
1,,199,,728.7324829101562,,-6.57546329498291,,26.65219497680664,,,
1,,209,,579.7655029296875,,-4.844873428344727,,23.78725242614746,,,
1,,219,,619.3777465820312,,-6.794912338256836,,24.606494903564453,,,
1,,229,,729.0364379882812,,-7.627623081207275,,26.6671142578125,,,
1,,239,,583.7042236328125,,-6.907400131225586,,23.898061752319336,,,
1,,249,,615.6121826171875,,-4.295400619506836,,24.389724731445312,,,
1,,259,,743.7510986328125,,-9.400092124938965,,26.964370727539062,,,
1,,269,,708.8670654296875,,-5.169709205627441,,26.311851501464844,,,
1,,279,,789.1318359375,,-5.975147247314453,,27.722522735595703,,,
1,,289,,512.9464111328125,,-6.011992454528809,,22.369144439697266,,,
1,,293,,,,,,,561.2991943359375,-5.709140777587891,23.341508865356445
1,,293,638.2137451171875,,-6.392687797546387,,24.89177131652832,,,,
,0.001,294,,,,,,,,,
2,,299,,541.3334350585938,,-4.301975250244141,,22.945661544799805,,,
2,,309,,556.8866577148438,,-4.513148784637451,,23.26453399658203,,,
2,,319,,525.9747314453125,,-5.7644243240356445,,22.59381103515625,,,
